name,class,nose,left_ear,upper_body,lower_body,left_eye,right_ear,left_hand,right_hand,body,head,left_foot,mouth,left_arm,right_eye,right_arm,right_foot
A-L10-o2,ASD,0.0,0.0,30.449453184530054,19.548803251130447,0.0,0.0,0.0,0.0,0.0,7.9680669549341205,0.0,0.0,0.0,0.0,0.0,0.0
A-L4-s3,ASD,0.0,0.0,32.14692512807592,27.367042496010754,0.0,0.0,0.0,0.0,0.0,36.78410021415975,0.0,0.0,0.0,0.0,0.0,0.0
A-L4-o1,ASD,0.7892505356007269,1.4236800706145316,33.4441354165156,25.09661534143724,1.614682065903833,1.2520307003985955,5.193403151209818,3.3690395997284774,15.702888268224962,42.14244464345674,2.604695051178692,1.9083371159301168,0.0,1.6801444237606953,0.0,3.0109318940230727
A-W4-s1,ASD,0.30389141328609587,1.201158949107116,30.537710463993875,10.213973708123694,1.4969465913722497,1.8728715248446774,0.5130137265770462,0.3279776215984005,35.0812247497469,41.998918839891346,0.0,1.0647454702542458,2.5344543868060394,1.2389765472049419,2.0297695360005372,0.0
A-L4-s2,ASD,0.0,0.0,39.74702402519357,28.698212292558537,0.0,0.0,0.0,0.0,0.0,44.16811108510592,0.0,0.0,0.0,0.0,0.0,0.0
A-4-s1,ASD,2.8894812390605225,1.593197675672469,21.033739700089736,12.695793978014981,2.027706132674052,1.499235221845875,0.7343192923326737,0.5938282245688276,38.14260071712226,56.64378977105918,0.5358937636352837,2.8199598859402717,0.0,1.9914970945905865,0.0,0.3857769817447667
A-W6-s2,ASD,1.4404463275645212,1.378300242104285,28.41418960645758,11.658159282063654,0.5527566395206943,0.9243839847351715,3.507662471805898,5.229015351488426,19.967943237826677,40.83706717320411,4.187834201114412,6.025828100492405,0.0,0.4256538416196082,0.0,3.3446461069303024
A-W6-o1,ASD,0.0,0.0,28.1857646620033,11.408543440120281,0.0,0.0,0.0,0.0,0.0,39.755503223305794,0.0,0.0,0.0,0.0,0.0,0.0
A-L9-s1,ASD,0.0,0.0,40.23756848352969,10.324326467989762,0.0,0.0,0.0,0.0,0.0,25.684895607616912,0.0,0.0,0.0,0.0,0.0,0.0
A-4-o2,ASD,0.0,0.0,22.68666890462309,13.631053684443014,0.0,0.0,0.0,0.0,0.0,42.69602695461679,0.0,0.0,0.0,0.0,0.0,0.0
A-L9-s3,ASD,0.12899407678141156,0.678237277392791,45.32406703332405,8.492902123668802,0.7155776680400424,0.496966653705229,1.0978074850291721,1.8962129286867533,20.750903727919255,11.728716989915315,0.7157614551202015,0.26274056691792835,0.0,0.9155184870512304,0.0,0.33945809679318983
A-W9-o1,ASD,0.0,0.0,30.76553106212425,14.780036263002195,0.0,0.0,0.0,0.0,0.0,18.712090848363392,0.0,0.0,0.0,0.0,0.0,0.0
